"","x"
"316",183.660003662109
"317",186.899993896484
"318",185.789993286133
"319",183.419998168945
"320",183.410003662109
"321",183.740005493164
"322",184.360000610352
"323",186.339996337891
"324",186.160003662109
"325",183.699996948242
"326",183.570007324219
"327",186.869995117188
"328",187.639999389648
"329",183.440002441406
"330",179.699996948242
"331",184.210006713867
"332",185.720001220703
"333",184.130004882812
"334",184.869995117188
"335",185.300003051758
"336",185.029998779297
"337",188.199996948242
"338",193.059997558594
"339",191.949996948242
"340",196.160003662109
"341",196.539993286133
"342",195.949996948242
"343",191.729995727539
"344",197.779998779297
"345",196.699996948242
"346",193.429992675781
"347",191.070007324219
"348",191.690002441406
"349",193.339996337891
"350",193.960006713867
"351",191.899993896484
"352",190.839996337891
"353",188.789993286133
"354",188.5
"355",190.800003051758
"356",190.960006713867
"357",189.830001831055
"358",188.880004882812
"359",190.899993896484
"360",187.940002441406
"361",189.139999389648
"362",189.820007324219
"363",189.309997558594
"364",186.039993286133
"365",185.899993896484
"366",182.270004272461
"367",181.25
"368",183.75
"369",183.100006103516
"370",181.470001220703
"371",181.580001831055
"372",181.899993896484
"373",182.190002441406
"374",184.100006103516
"375",168.910003662109
"376",167.130004882812
"377",167.429992675781
"378",166.199996948242
"379",164.429992675781
"380",164.690002441406
"381",165.710006713867
"382",168.610000610352
"383",168.380004882812
"384",169.899993896484
"385",166.270004272461
"386",167.149993896484
"387",167.559997558594
"388",167.360000610352
"389",168.259994506836
"390",168.970001220703
"391",169.029998779297
"392",169.919998168945
"393",173.470001220703
"394",173.690002441406
"395",170.669998168945
"396",170.889999389648
"397",169.660003662109
"398",167.050003051758
"399",165.630004882812
"400",166.850006103516
"401",165.279998779297
